epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8517.86,0.22437,0.33534,0.796,0.13273,0.29392,0.05746,0.0315,0.57469,1562.49,0.5033,0.000273899,0.000273899,0.000273899
43,8765.63,0.22449,0.32663,0.79921,0.14931,0.35945,0.07038,0.03731,0.58664,1771.79,0.53264,0.000267019,0.000267019,0.000267019
44,8982.31,0.21656,0.32314,0.79231,0.12331,0.19404,0.03396,0.01868,0.56087,2114.27,0.51009,0.000260138,0.000260138,0.000260138
45,9195.34,0.22249,0.31814,0.79216,0.13601,0.27103,0.07142,0.04021,0.59284,2050.04,0.531,0.000253258,0.000253258,0.000253258
46,9405.53,0.21978,0.3185,0.79507,0.05488,0.24037,0.05882,0.03308,0.57062,2125.38,0.51793,0.000246377,0.000246377,0.000246377
47,9622.89,0.21396,0.32848,0.7912,0.12177,0.1943,0.03736,0.02074,0.5639,1971.57,0.50981,0.000239497,0.000239497,0.000239497
48,9804.83,0.21485,0.31926,0.79521,0.15134,0.37148,0.0869,0.04741,0.59597,1780.19,0.53685,0.000232616,0.000232616,0.000232616
49,9986.67,0.21323,0.31404,0.7945,0.1531,0.37263,0.07271,0.03943,0.5828,1723.18,0.52516,0.000225736,0.000225736,0.000225736
50,10169.2,0.21522,0.31029,0.79207,0.05265,0.21787,0.03188,0.01797,0.57439,1849.85,0.51827,0.000218855,0.000218855,0.000218855
51,10354.5,0.21164,0.3136,0.79193,0.12673,0.20651,0.03481,0.01974,0.58517,2012.84,0.52354,0.000211975,0.000211975,0.000211975
52,10538.5,0.21576,0.30255,0.79226,0.16581,0.42868,0.08729,0.0454,0.60475,2064.31,0.54964,0.000205095,0.000205095,0.000205095
53,10720.8,0.19636,0.31038,0.78812,0.06568,0.42291,0.05468,0.02992,0.57009,2123.79,0.52469,0.000198214,0.000198214,0.000198214
54,10904,0.20739,0.29858,0.79055,0.06909,0.35678,0.07748,0.04254,0.59001,2223.88,0.52611,0.000191334,0.000191334,0.000191334
55,11086.8,0.20565,0.31307,0.79443,0.07499,0.33767,0.08573,0.04597,0.59991,2006.37,0.53984,0.000184453,0.000184453,0.000184453
56,11269.4,0.20056,0.29696,0.79421,0.06398,0.2829,0.05548,0.02905,0.58617,2356.3,0.53313,0.000177573,0.000177573,0.000177573
57,11456.7,0.19708,0.29961,0.78965,0.06041,0.26731,0.05834,0.03038,0.58995,2127.35,0.5321,0.000170692,0.000170692,0.000170692
58,11660.8,0.20119,0.2951,0.78438,0.0775,0.35081,0.08688,0.04668,0.5982,2510.29,0.54669,0.000163811,0.000163811,0.000163811
59,11876.8,0.1905,0.29035,0.79122,0.05553,0.60783,0.06581,0.03453,0.58421,2094.1,0.52456,0.000156931,0.000156931,0.000156931
60,12069.1,0.20123,0.28953,0.79056,0.04545,0.5054,0.04704,0.02522,0.56888,2208.08,0.51104,0.00015005,0.00015005,0.00015005
61,12305.3,0.19403,0.28265,0.78764,0.06605,0.36512,0.04838,0.02623,0.56698,2351.74,0.51032,0.00014317,0.00014317,0.00014317
62,12539.3,0.19893,0.28348,0.7853,0.07902,0.39689,0.07252,0.04016,0.58405,2198.33,0.53274,0.00013629,0.00013629,0.00013629
63,12768.7,0.19471,0.27373,0.79053,0.06778,0.68001,0.08539,0.04541,0.59228,2118.61,0.5419,0.000129409,0.000129409,0.000129409
64,12985.7,0.19457,0.27873,0.78707,0.05909,0.62434,0.0702,0.0375,0.58344,2236.69,0.53675,0.000122529,0.000122529,0.000122529
65,13210.4,0.19596,0.29423,0.7912,0.08502,0.43208,0.0945,0.05126,0.59287,2344.57,0.54003,0.000115648,0.000115648,0.000115648
66,13423.3,0.1899,0.27304,0.79329,0.09228,0.44723,0.12018,0.06845,0.60793,2565.9,0.54737,0.000108767,0.000108767,0.000108767
67,13639.5,0.19379,0.2738,0.7918,0.0429,0.18261,0.02278,0.0124,0.55554,2103.82,0.50241,0.000101887,0.000101887,0.000101887
68,13845.5,0.18883,0.27118,0.78664,0.07721,0.43088,0.07,0.03752,0.58652,2436.95,0.53591,9.50065e-05,9.50065e-05,9.50065e-05
69,15444.1,0.18676,0.27007,0.79068,0.08527,0.44752,0.11043,0.06205,0.60194,2229.39,0.54231,8.8126e-05,8.8126e-05,8.8126e-05
70,15628.4,0.18822,0.2673,0.7885,0.06543,0.32248,0.08441,0.05048,0.58056,2238.31,0.52683,8.12455e-05,8.12455e-05,8.12455e-05
71,15836.5,0.17603,0.23319,0.77373,0.07358,0.36296,0.08523,0.04722,0.59934,2322.67,0.5399,7.4365e-05,7.4365e-05,7.4365e-05
72,16069.6,0.17154,0.22756,0.77483,0.06013,0.28632,0.04089,0.02252,0.57185,2174.47,0.51826,6.74845e-05,6.74845e-05,6.74845e-05
73,16296.6,0.16183,0.22396,0.77632,0.06032,0.2972,0.05331,0.02845,0.58177,2295.15,0.52504,6.0604e-05,6.0604e-05,6.0604e-05
74,16480.7,0.16425,0.21839,0.78232,0.08702,0.4041,0.11669,0.06391,0.60664,2400.16,0.5447,5.37235e-05,5.37235e-05,5.37235e-05
75,16675.4,0.15855,0.21554,0.7757,0.06155,0.25082,0.06506,0.03471,0.57817,2344.77,0.52316,4.6843e-05,4.6843e-05,4.6843e-05
76,16886,0.15779,0.21484,0.77372,0.05497,0.2256,0.06132,0.03447,0.57331,2407.68,0.51609,3.99625e-05,3.99625e-05,3.99625e-05
77,17068.2,0.15329,0.20809,0.77445,0.0568,0.26389,0.05871,0.03359,0.5788,2448.91,0.52125,3.3082e-05,3.3082e-05,3.3082e-05
78,17272.4,0.15625,0.21107,0.77361,0.05743,0.26442,0.05753,0.03259,0.57694,2425.5,0.52045,2.62015e-05,2.62015e-05,2.62015e-05
79,17473.6,0.15083,0.2101,0.77372,0.05199,0.21657,0.05058,0.02668,0.57826,2440.41,0.5209,1.9321e-05,1.9321e-05,1.9321e-05
80,17676.3,0.1528,0.20404,0.77426,0.05137,0.21613,0.05257,0.02802,0.57996,2467.72,0.52074,1.24405e-05,1.24405e-05,1.24405e-05
