epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7851.08,0.24456,0.39194,0.79793,0.12932,0.27851,0.03727,0.02061,0.57282,1410.8,0.51446,0.00033032,0.00033032,0.00033032
43,8036.94,0.24031,0.37277,0.80122,0.12966,0.22914,0.05629,0.03079,0.57612,1696.11,0.52644,0.000324815,0.000324815,0.000324815
44,8222.31,0.23249,0.36441,0.79395,0.12843,0.21567,0.058,0.02751,0.55625,2035.33,0.51843,0.000319311,0.000319311,0.000319311
45,8408.84,0.23859,0.36449,0.79399,0.14895,0.36417,0.06867,0.0365,0.5773,1908.38,0.52111,0.000313806,0.000313806,0.000313806
46,8594.32,0.23607,0.36993,0.797,0.05447,0.27313,0.07089,0.04095,0.56022,2097.68,0.50647,0.000308302,0.000308302,0.000308302
47,8780.21,0.23323,0.3865,0.79391,0.14561,0.29603,0.10525,0.05712,0.59415,1887.71,0.53122,0.000302798,0.000302798,0.000302798
48,8965.38,0.23513,0.36848,0.79789,0.13706,0.30354,0.08345,0.04667,0.57943,1621.21,0.5178,0.000297293,0.000297293,0.000297293
49,9151.33,0.23064,0.35738,0.79685,0.14952,0.3563,0.07723,0.04375,0.58816,1788.51,0.52867,0.000291789,0.000291789,0.000291789
50,9336.2,0.23484,0.35299,0.79453,0.12929,0.23178,0.03682,0.02092,0.55759,1727.17,0.52313,0.000286284,0.000286284,0.000286284
51,9521.35,0.22924,0.35663,0.79293,0.13415,0.28948,0.04011,0.02184,0.56756,1788.04,0.52484,0.00028078,0.00028078,0.00028078
52,9706.91,0.23112,0.33882,0.79468,0.15819,0.40305,0.08896,0.04885,0.58997,2048.28,0.5398,0.000275276,0.000275276,0.000275276
53,9892.11,0.21086,0.34283,0.7887,0.13783,0.30343,0.0591,0.03256,0.55731,2159.4,0.51908,0.000269771,0.000269771,0.000269771
54,10077.9,0.22474,0.33751,0.79259,0.15467,0.38941,0.09561,0.05242,0.59062,1993.64,0.52475,0.000264267,0.000264267,0.000264267
55,10263.3,0.22486,0.3489,0.79676,0.07028,0.35283,0.07409,0.04051,0.59359,1913.74,0.5323,0.000258762,0.000258762,0.000258762
56,10449.1,0.21623,0.33329,0.79601,0.06645,0.31128,0.06813,0.03804,0.57939,2260.19,0.52533,0.000253258,0.000253258,0.000253258
57,10634.7,0.21505,0.33513,0.79096,0.05744,0.24744,0.05889,0.03128,0.57133,1989.75,0.5193,0.000247754,0.000247754,0.000247754
58,10820.6,0.21663,0.3266,0.78613,0.08097,0.40603,0.09826,0.05141,0.59964,2193.72,0.54334,0.000242249,0.000242249,0.000242249
59,11006,0.20658,0.32038,0.79335,0.0644,0.29563,0.0544,0.02819,0.5968,1879.32,0.54668,0.000236745,0.000236745,0.000236745
60,11191.4,0.21596,0.32139,0.79194,0.05035,0.21296,0.03007,0.01789,0.56581,2238.99,0.52354,0.00023124,0.00023124,0.00023124
61,11376.8,0.21345,0.31735,0.79002,0.05414,0.24512,0.03844,0.02278,0.55714,2284.06,0.51726,0.000225736,0.000225736,0.000225736
62,11562.6,0.21683,0.31323,0.78668,0.07006,0.29911,0.05934,0.03241,0.57939,2210.28,0.53238,0.000220232,0.000220232,0.000220232
63,11748.9,0.20931,0.30586,0.7921,0.06474,0.27361,0.06026,0.03246,0.58094,2029.07,0.53195,0.000214727,0.000214727,0.000214727
64,11934.3,0.21026,0.31183,0.7883,0.06548,0.27669,0.0659,0.03538,0.59764,2221.21,0.54195,0.000209223,0.000209223,0.000209223
65,12120.4,0.21156,0.33127,0.79336,0.07106,0.31939,0.07948,0.04402,0.58226,2260.5,0.52676,0.000203718,0.000203718,0.000203718
